sampel_id,fold,pred_prob
SRR7534174,fold_2,0.49344240502732195
SRR7534188,fold_2,0.45801120136605866
SRR7534204,fold_2,0.4972802359662062
SRR7534217,fold_2,0.46359057622219096
ERR1994988,fold_3,0.4889726165310839
ERR1994999,fold_3,0.4882881625745981
ERR1995002,fold_3,0.4875027526951006
ERR1995007,fold_3,0.47394174128942795
ERR1995009,fold_3,0.4916128110638177
ERR1995013,fold_3,0.47862460499974363
ERR1995017,fold_3,0.4845027076757701
ERR1995047,fold_3,0.47849563710792786
ERR1995065,fold_3,0.4482636084104706
ERR2014749,fold_3,0.5101200921155731
ERR2014751,fold_3,0.4996448802533258
ERR2596973,fold_3,0.5383831697968436
ERR2596985,fold_3,0.5493161698319426
ERR2596998,fold_3,0.5166374328892774
ERR2597003,fold_3,0.5115841499829221
ERR2597010,fold_3,0.553035246352781
ERR2597023,fold_3,0.5105319510681653
ERR2597039,fold_3,0.6397773056366701
ERR2597043,fold_3,0.5638703718430372
ERR2597045,fold_3,0.4944187936263882
ERR2597054,fold_3,0.4995467108610345
ERR2597055,fold_3,0.5603172214861636
ERR2597057,fold_3,0.6091875357204077
ERR2597058,fold_3,0.5724721183071299
ERR2597080,fold_3,0.5323893908114368
ERR2597081,fold_3,0.5142331751759935
ERR2597084,fold_3,0.59995383819287
ERR2597093,fold_3,0.5254486466514696
ERR2597098,fold_3,0.599494775139242
ERR2597099,fold_3,0.6018250068645796
ERR2597120,fold_3,0.6333398745234299
ERR2597123,fold_3,0.5590163184572328
ERR2597126,fold_3,0.5620069242652539
ERR2597128,fold_3,0.6256671953364294
ERR2597134,fold_3,0.5206599830440628
ERR2597139,fold_3,0.5438847555453433
ERR2597140,fold_3,0.552852426692573
ERR2597143,fold_3,0.5177272592556971
ERR2597145,fold_3,0.5554072043526947
ERR2597153,fold_3,0.5743771912103098
ERR2597162,fold_3,0.6480352152792752
ERR2597192,fold_3,0.5170422766633407
ERR2597201,fold_3,0.5988721094661262
ERR2597223,fold_3,0.5212431900938588
ERR2597249,fold_3,0.596483666940757
ERR2597252,fold_3,0.6072967467216793
ERR2597253,fold_3,0.5968827770557555
ERR2597263,fold_3,0.5510767555653031
ERR2597268,fold_3,0.5776907033584524
ERR2597276,fold_3,0.5127110880333837
ERR2597282,fold_3,0.519034387564106
SRR5269744,fold_3,0.4302274107809159
SRR5269747,fold_3,0.4802035865402939
SRR5269748,fold_3,0.46691686879254896
SRR5269751,fold_3,0.36544402100806245
SRR5269754,fold_3,0.45567109964891744
SRR5269755,fold_3,0.4146533030455034
SRR5269757,fold_3,0.46635903626441205
SRR5269762,fold_3,0.42693338121304386
SRR5269765,fold_3,0.421671268923455
SRR5269767,fold_3,0.431561888159421
SRR5269787,fold_3,0.40864442675320395
SRR5269798,fold_3,0.4535383807680608
SRR5269799,fold_3,0.4416108418631056
SRR5269801,fold_3,0.4447761025484808
SRR5269807,fold_3,0.3978975838890908
SRR5269809,fold_3,0.46359867928258414
SRR5269817,fold_3,0.4458040081284518
SRR5269819,fold_3,0.44027688628344835
SRR5269820,fold_3,0.4112042621533329
SRR5269822,fold_3,0.4330062797525084
SRR5269823,fold_3,0.42066925415298156
SRR5269830,fold_3,0.4305885666639079
SRR5269843,fold_3,0.4982799645314995
SRR5269852,fold_3,0.46891777600566925
